team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,accurate_passes,total_passes,crosses,assists_avg_over_90_mins,long_balls,successful_short_passes,turnovers,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,tackles,tackles_percentage,interceptions,headed_duel,gk_saves,gk_long_ball_percentage,gk_total_clearance
NJ/NY Gotham FC,Michelle Betos,MICHELLEBETOS,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago Red Stars,Julia Bianchi,JULIABIANCHI,MIDFIELDER,9,7,575,1,76,0,2,1,0,15,12,7,0,2,0,185,243,3,0,11,173,93,0.16,0,0,0,50,2,17,1,15,62,8,21,,,
Chicago Red Stars,Camryn Biegalski,CAMRYNBIEGALSKI,DEFENDER,1,,13,0,50,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,3,6,0,0,0,0,0,3,100,0,0,0,0,1,,,
Chicago Red Stars,Jenna Bike,JENNABIKE,FORWARD,11,9,703,1,69,2,9,3,2,7,15,16,3,2,0,129,187,3,0.26,3,121,114,0.13,0,0,0,33,9,43,3,7,70,6,14,,,
Racing Louisville FC,Jordyn Bloomer,JORDYNBLOOMER,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay FC,Tess Boade,TESSBOADE,FORWARD,11,10,922,2,84,1,11,9,1,18,13,9,2,1,0,317,377,3,0.1,5,310,132,0.2,0,0,0,82,13,46,3,18,75,8,2,,,
Racing Louisville FC,Ary Borges,ARYBORGES,MIDFIELDER,3,2,125,0,78,0,5,3,0,5,2,2,0,0,0,43,55,3,0,3,40,21,0,0,0,0,60,0,0,0,5,83,2,2,,,
Washington Spirit,Lyza Bosselmann,LYZABOSSELMANN,GOALKEEPER,1,,1,0,100,0,0,0,0,0,0,0,0,0,0,4,4,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
North Carolina Courage,Marisa Bova,MARISABOVA,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas City Current,Sophia Braun,SOPHIABRAUN,MIDFIELDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
